Site_Name,Commodity,TimeIdx,Demand
AK,ASPHout,-1,0.15
AK,ASPHout,0,0.13
AK,ASPHout,1,0.14
AK,ASPHout,2,0.15
AK,ASPHout,3,0.19
AK,ASPHout,4,0.23
AK,ASPHout,5,0.28
AK,ASPHout,6,0.30
AK,ASPHout,7,0.31
AK,ASPHout,8,0.29
AK,ASPHout,9,0.26
AK,ASPHout,10,0.19
AK,ASPHout,11,0.14
AK,ASPHout,12,0.13
AK,ASPHout,13,0.14
AK,ASPHout,14,0.16
AK,ASPHout,15,0.20
AK,ASPHout,16,0.24
AK,ASPHout,17,0.28
AK,ASPHout,18,0.30
AK,ASPHout,19,0.31
AK,ASPHout,20,0.29
AK,ASPHout,21,0.26
AK,ASPHout,22,0.19
AK,ASPHout,23,0.13
AK,CFGsout,-1,18.65
AK,CFGsout,0,18.02
AK,CFGsout,1,17.88
AK,CFGsout,2,18.71
AK,CFGsout,3,18.56
AK,CFGsout,4,19.18
AK,CFGsout,5,18.87
AK,CFGsout,6,19.10
AK,CFGsout,7,19.26
AK,CFGsout,8,18.54
AK,CFGsout,9,19.01
AK,CFGsout,10,18.56
AK,CFGsout,11,18.64
AK,CFGsout,12,17.90
AK,CFGsout,13,17.74
AK,CFGsout,14,18.38
AK,CFGsout,15,18.77
AK,CFGsout,16,18.90
AK,CFGsout,17,18.96
AK,CFGsout,18,19.13
AK,CFGsout,19,19.26
AK,CFGsout,20,18.56
AK,CFGsout,21,18.92
AK,CFGsout,22,18.65
AK,CFGsout,23,18.63
AK,COKout,-1,0.00
AK,COKout,0,0.00
AK,COKout,1,0.00
AK,COKout,2,0.00
AK,COKout,3,0.00
AK,COKout,4,0.00
AK,COKout,5,0.00
AK,COKout,6,0.00
AK,COKout,7,0.00
AK,COKout,8,0.00
AK,COKout,9,0.00
AK,COKout,10,0.00
AK,COKout,11,0.00
AK,COKout,12,0.00
AK,COKout,13,0.00
AK,COKout,14,0.00
AK,COKout,15,0.00
AK,COKout,16,0.00
AK,COKout,17,0.00
AK,COKout,18,0.00
AK,COKout,19,0.00
AK,COKout,20,0.00
AK,COKout,21,0.00
AK,COKout,22,0.00
AK,COKout,23,0.00
AK,DSUout,-1,35.95
AK,DSUout,0,35.73
AK,DSUout,1,37.33
AK,DSUout,2,35.91
AK,DSUout,3,36.88
AK,DSUout,4,38.55
AK,DSUout,5,39.29
AK,DSUout,6,38.47
AK,DSUout,7,39.16
AK,DSUout,8,39.11
AK,DSUout,9,40.36
AK,DSUout,10,36.58
AK,DSUout,11,36.75
AK,DSUout,12,35.58
AK,DSUout,13,36.23
AK,DSUout,14,37.84
AK,DSUout,15,39.14
AK,DSUout,16,39.79
AK,DSUout,17,40.07
AK,DSUout,18,39.08
AK,DSUout,19,39.91
AK,DSUout,20,39.46
AK,DSUout,21,41.34
AK,DSUout,22,37.76
AK,DSUout,23,36.90
AK,JTAout,-1,60.89
AK,JTAout,0,53.51
AK,JTAout,1,56.44
AK,JTAout,2,60.24
AK,JTAout,3,60.68
AK,JTAout,4,61.79
AK,JTAout,5,63.24
AK,JTAout,6,62.05
AK,JTAout,7,60.13
AK,JTAout,8,57.57
AK,JTAout,9,56.84
AK,JTAout,10,55.11
AK,JTAout,11,56.93
AK,JTAout,12,54.21
AK,JTAout,13,55.19
AK,JTAout,14,57.80
AK,JTAout,15,60.11
AK,JTAout,16,61.44
AK,JTAout,17,63.92
AK,JTAout,18,62.63
AK,JTAout,19,60.81
AK,JTAout,20,58.18
AK,JTAout,21,57.42
AK,JTAout,22,55.70
AK,JTAout,23,57.60
AK,LPGout,-1,0.70
AK,LPGout,0,0.76
AK,LPGout,1,0.73
AK,LPGout,2,0.59
AK,LPGout,3,0.49
AK,LPGout,4,0.47
AK,LPGout,5,0.51
AK,LPGout,6,0.51
AK,LPGout,7,0.54
AK,LPGout,8,0.55
AK,LPGout,9,0.63
AK,LPGout,10,0.65
AK,LPGout,11,0.75
AK,LPGout,12,0.78
AK,LPGout,13,0.71
AK,LPGout,14,0.60
AK,LPGout,15,0.53
AK,LPGout,16,0.51
AK,LPGout,17,0.52
AK,LPGout,18,0.50
AK,LPGout,19,0.54
AK,LPGout,20,0.55
AK,LPGout,21,0.63
AK,LPGout,22,0.64
AK,LPGout,23,0.74
AK,N2Hout,-1,7.97
AK,N2Hout,0,9.74
AK,N2Hout,1,11.35
AK,N2Hout,2,6.72
AK,N2Hout,3,3.73
AK,N2Hout,4,1.87
AK,N2Hout,5,1.40
AK,N2Hout,6,1.34
AK,N2Hout,7,1.46
AK,N2Hout,8,2.15
AK,N2Hout,9,3.42
AK,N2Hout,10,5.26
AK,N2Hout,11,7.51
AK,N2Hout,12,9.98
AK,N2Hout,13,8.89
AK,N2Hout,14,5.92
AK,N2Hout,15,3.37
AK,N2Hout,16,1.76
AK,N2Hout,17,1.32
AK,N2Hout,18,1.24
AK,N2Hout,19,1.34
AK,N2Hout,20,2.20
AK,N2Hout,21,3.26
AK,N2Hout,22,5.03
AK,N2Hout,23,7.21
AK,N6Iout,-1,0.63
AK,N6Iout,0,0.58
AK,N6Iout,1,0.42
AK,N6Iout,2,0.56
AK,N6Iout,3,0.58
AK,N6Iout,4,0.35
AK,N6Iout,5,0.46
AK,N6Iout,6,0.40
AK,N6Iout,7,0.43
AK,N6Iout,8,0.44
AK,N6Iout,9,0.45
AK,N6Iout,10,0.46
AK,N6Iout,11,0.45
AK,N6Iout,12,0.51
AK,N6Iout,13,0.41
AK,N6Iout,14,0.44
AK,N6Iout,15,0.44
AK,N6Iout,16,0.37
AK,N6Iout,17,0.44
AK,N6Iout,18,0.39
AK,N6Iout,19,0.41
AK,N6Iout,20,0.41
AK,N6Iout,21,0.42
AK,N6Iout,22,0.43
AK,N6Iout,23,0.41
AL,ASPHout,-1,7.10
AL,ASPHout,0,5.87
AL,ASPHout,1,6.36
AL,ASPHout,2,6.96
AL,ASPHout,3,8.76
AL,ASPHout,4,10.63
AL,ASPHout,5,12.64
AL,ASPHout,6,13.65
AL,ASPHout,7,14.04
AL,ASPHout,8,13.24
AL,ASPHout,9,11.80
AL,ASPHout,10,8.74
AL,ASPHout,11,6.30
AL,ASPHout,12,6.17
AL,ASPHout,13,6.44
AL,ASPHout,14,7.33
AL,ASPHout,15,8.95
AL,ASPHout,16,11.01
AL,ASPHout,17,12.82
AL,ASPHout,18,13.79
AL,ASPHout,19,14.14
AL,ASPHout,20,13.29
AL,ASPHout,21,11.77
AL,ASPHout,22,8.79
AL,ASPHout,23,6.25
AL,CFGsout,-1,172.81
AL,CFGsout,0,166.96
AL,CFGsout,1,165.66
AL,CFGsout,2,173.41
AL,CFGsout,3,171.94
AL,CFGsout,4,177.73
AL,CFGsout,5,174.88
AL,CFGsout,6,176.97
AL,CFGsout,7,178.45
AL,CFGsout,8,171.78
AL,CFGsout,9,176.16
AL,CFGsout,10,171.94
AL,CFGsout,11,172.68
AL,CFGsout,12,165.83
