series_id,Name,Category,Subcategory,Commodity,Region,Outfile,AdjFactor
STEO.BREPUUS.M,"Brent crude oil spot price, Monthly",BrentPrice,none,crudeoil,US,aSTEO_BrentPrice.csv,1
PET.MCRIMUS2.M,"U.S. Imports of Crude Oil, Monthly",CrudeImports,none,crudeoil,US,aPSM_CrudeImports.csv,1
PET.MCRFPUS2.M,"U.S. Field Production of Crude Oil, Monthly",HistCrudeProduction,none,crudeoil,US,aPSM_HistCrudeProduction.csv,1
PET.MCRSAP51.M,"West Coast (PADD 5) Crude Oil Stocks in Transit (on Ships) from Alaska, Monthly",Inventory,AKinTransit,crudeoil,PADD5,aPSM_Inventories.csv,1
PET.MCRSLP11.M,"East Coast (PADD 1) Crude Oil Stocks at Leases, Monthly",Inventory,Leases,crudeoil,PADD1,aPSM_Inventories.csv,1
PET.MCRSLP21.M,"Midwest (PADD 2) Crude Oil Stocks at Leases, Monthly",Inventory,Leases,crudeoil,PADD2,aPSM_Inventories.csv,1
PET.MCRSLP31.M,"Gulf Coast (PADD 3) Crude Oil Stocks at Leases, Monthly",Inventory,Leases,crudeoil,PADD3,aPSM_Inventories.csv,1
PET.MCRSLP41.M,"Rocky Mountain (PADD 4) Crude Oil Stocks at Leases, Monthly",Inventory,Leases,crudeoil,PADD4,aPSM_Inventories.csv,1
PET.MCRSLP51.M,"West Coast (PADD 5) Crude Oil Stocks at Leases, Monthly",Inventory,Leases,crudeoil,PADD5,aPSM_Inventories.csv,1
PET.MCRSFP11.M,"East Coast (PADD 1) Crude Oil Stocks at Tank Farms and Pipelines, Monthly",Inventory,Pipelines,crudeoil,PADD1,aPSM_Inventories.csv,1
PET.MCRSFP21.M,"Midwest (PADD 2) Crude Oil Stocks at Tank Farms and Pipelines, Monthly",Inventory,Pipelines,crudeoil,PADD2,aPSM_Inventories.csv,1
PET.MCRSFP31.M,"Gulf Coast (PADD 3) Crude Oil Stocks at Tank Farms and Pipelines, Monthly",Inventory,Pipelines,crudeoil,PADD3,aPSM_Inventories.csv,1
PET.MCRSFP41.M,"Rocky Mountain (PADD 4) Crude Oil Stocks at Tank Farms and Pipelines, Monthly",Inventory,Pipelines,crudeoil,PADD4,aPSM_Inventories.csv,1
PET.MCRSFP51.M,"West Coast (PADD 5) Crude Oil Stocks at Tank Farms and Pipelines, Monthly",Inventory,Pipelines,crudeoil,PADD5,aPSM_Inventories.csv,1
PET.MCRRSP11.M,"East Coast (PADD 1) Crude Oil Stocks at Refineries, Monthly",Inventory,Refineries,crudeoil,PADD1,aPSM_Inventories.csv,1
PET.MCRRSP21.M,"Midwest (PADD 2) Crude Oil Stocks at Refineries, Monthly",Inventory,Refineries,crudeoil,PADD2,aPSM_Inventories.csv,1
PET.MCRRSP31.M,"Gulf Coast (PADD 3) Crude Oil Stocks at Refineries, Monthly",Inventory,Refineries,crudeoil,PADD3,aPSM_Inventories.csv,1
PET.MCRRSP41.M,"Rocky Mountain (PADD 4) Crude Oil Stocks at Refineries, Monthly",Inventory,Refineries,crudeoil,PADD4,aPSM_Inventories.csv,1
PET.MCRRSP51.M,"West Coast (PADD 5) Crude Oil Stocks at Refineries, Monthly",Inventory,Refineries,crudeoil,PADD5,aPSM_Inventories.csv,1
PET.EER_EPMRU_PF4_RGC_DPG.M,"U.S. Gulf Coast Conventional Gasoline Regular Spot Price FOB, Monthly",HistoricalPrices,none,CFGout,GOM,aPSM_GasolinePrices.csv,1
PET.EER_EPMRU_PF4_Y35NY_DPG.M,"New York Harbor Conventional Gasoline Regular Spot Price FOB, Monthly",HistoricalPrices,none,CFGout,NYC,aPSM_GasolinePrices.csv,1
PET.EER_EPMRR_PF4_Y05LA_DPG.M,"Los Angeles Reformulated RBOB Regular Gasoline Spot Price, Monthly",HistoricalPrices,none,RBOB,LA,aPSM_GasolinePrices.csv,1
STEO.ARTCPUS.M,"Asphalt and Road Oil Product Supplied, Monthly",ProductDemands,none,ASPHout,US,aSTEO_ProductDemands.csv,1000
STEO.MGTCPUSX.M,"Motor Gasoline Product Supplied, Monthly",ProductDemands,none,CFGsout,US,aSTEO_ProductDemands.csv,1000
STEO.PCTCPUS.M,"Petroleum Coke Product Supplied, Monthly",ProductDemands,none,COKout,US,aSTEO_ProductDemands.csv,1000
STEO.DSTCPUS.M,"Diesel Fuel Consumption, Monthly",ProductDemands,none,DSUout,US,aSTEO_ProductDemands.csv,1000
STEO.JFTCPUS.M,"Jet Fuel Product Supplied, Monthly",ProductDemands,none,JTAout,US,aSTEO_ProductDemands.csv,1000
STEO.PRROPUS.M,"Propane/Propylene Product Supplied, Monthly",ProductDemands,none,LPGout,US,aSTEO_ProductDemands.csv,1000
STEO.D2TCPUS.M,"Fuel Oil Consumption, Monthly",ProductDemands,none,N2Hout,US,aSTEO_ProductDemands.csv,1000
STEO.RFTCPUS.M,"Residual Fuel Oil Product Supplied, Monthly",ProductDemands,none,N6Iout,US,aSTEO_ProductDemands.csv,1000
STEO.MZTCPUS.M,"Other Liquid Fuels Product Supplied, Monthly",ProductDemands,none,Other,US,aSTEO_ProductDemands.csv,1000
STEO.FETCPUS.M,"Petrochemical Feedstocks Product Supplied, Monthly",ProductDemands,none,PCFout,US,aSTEO_ProductDemands.csv,1000
STEO.ARTCPUS.M,"Asphalt and Road Oil Product Supplied, Monthly",ProductDemandsGUI,none,asphalt,US,consumption.csv,1000
STEO.PCTCPUS.M,"Petroleum Coke Product Supplied, Monthly",ProductDemandsGUI,none,coke,US,consumption.csv,1000
STEO.DSTCPUS.M,"Diesel Fuel Consumption, Monthly",ProductDemandsGUI,none,diesel,US,consumption.csv,1000
STEO.RFTCPUS.M,"Residual Fuel Oil Product Supplied, Monthly",ProductDemandsGUI,none,fueloil,US,consumption.csv,1000
STEO.MGTCPUSX.M,"Motor Gasoline Product Supplied, Monthly",ProductDemandsGUI,none,gasoline,US,consumption.csv,1000
STEO.D2TCPUS.M,"Fuel Oil Consumption, Monthly",ProductDemandsGUI,none,homeheatingoil,US,consumption.csv,1000
STEO.JFTCPUS.M,"Jet Fuel Product Supplied, Monthly",ProductDemandsGUI,none,jetfuel,US,consumption.csv,1000
STEO.PRTCPUS.M,"Propane/Propylene Product Supplied, Monthly",ProductDemandsGUI,none,propane,US,consumption.csv,1000
